id,business,category,phone,website,facebook,instagram,google-ratings-store,contact-name,contact-role,email,current-marketing,slow-days,hero-menu-item,free-appetizer-idea,notes
1,[EXAMPLE] Mama Rosa's Pizzeria,Pizza,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Sat-Sun,TBD menu hero,TBD low-cost item,Rapid-fire pitch candidate
2,[EXAMPLE] The Copper Kettle,Comfort food,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Mon-Tue,TBD menu hero,TBD low-cost item,Family-style; birthday list play
3,[EXAMPLE] Firebird Chophouse,Steakhouse,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,Email-only,Mon,TBD menu hero,TBD low-cost item,Up-sell dessert/bread play
4,[EXAMPLE] Golden Bowl Sushi Bar,Sushi,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Mon-Wed,TBD menu hero,TBD low-cost item,Omakase Friday crowd
5,[EXAMPLE] Old Mill Diner,Diner,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Mon-Tue,TBD menu hero,TBD low-cost item,Breakfast crush curb
6,[EXAMPLE] Smoky Barrel BBQ,BBQ,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Mon-Wed,TBD menu hero,TBD low-cost item,Weekend smokehouse; no list today
7,[EXAMPLE] The Rusty Kettle,Pub food,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Sun-Mon,TBD menu hero,TBD low-cost item,Bar regulars base
8,[EXAMPLE] Nighthawk Wings,Wings,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Mon-Tue,TBD menu hero,TBD low-cost item,Delivery-heavy; capture on orders
9,[EXAMPLE] Casa de Sol Tacos,Taco,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Mon-Tue,TBD menu hero,TBD low-cost item,Mission-style; no loyalty
10,[EXAMPLE] Blue Heron Oyster Bar,Seafood,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Mon-Wed,TBD menu hero,TBD low-cost item,Happy-hour speakers
11,[EXAMPLE] The Taproom Cellar,Neighborhood bar,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Mon-Tue,TBD menu hero,TBD low-cost item,Game-day blast potential
12,[EXAMPLE] La Plaza Taqueria,Taco,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Mon-Wed,TBD menu hero,TBD low-cost item,Heavy Fri/Sat; empty Mon-Wed
13,[EXAMPLE] Blue Plate Diner,Diner,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Mon,TBD menu hero,TBD low-cost item,Strong Sunday brunch; dead Mon
14,[EXAMPLE] The Corner Hearth,Neighborhood bar,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Mon-Tue,TBD menu hero,TBD low-cost item,Regulars at bar; zero weekday pull
15,[EXAMPLE] Slice & Smoke Co.,Pizza,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Fri-Sat,TBD menu hero,TBD low-cost item,Late-night Fri/Sat peak only
16,[EXAMPLE] Hickory Hollow BBQ,BBQ,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Mon-Tue,TBD menu hero,TBD low-cost item,Weekend smokehouse crowd; no list
17,[EXAMPLE] Flock Wings,Wings,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Mon-Tue,TBD menu hero,TBD low-cost item,Delivery-heavy; no capture on orders
18,[EXAMPLE] Sakura Zen Sushi,Sushi,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Mon-Wed,TBD menu hero,TBD low-cost item,Omakase Fri/Sat; weekday dead
19,[EXAMPLE] Tia Rosa's Tacos,Taco,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Mon-Tue,TBD menu hero,TBD low-cost item,Mission-style popular; no loyalty
20,[EXAMPLE] Main Street Diner,Diner,/research,/research,/research,/research,/research,To research,Manager/Owner,/research,None,Mon-Tue,TBD menu hero,TBD low-cost item,Breakfast crush; lunch/Mon flat
